month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,14,19.29,4.12
1,no_calima,31,17.9,5.94
2,intense_calima,12,16.83,4.17
2,no_calima,29,19.34,4.55
3,intense_calima,13,17.08,6.41
3,no_calima,30,17.83,3.34
4,intense_calima,13,16.08,4.23
4,no_calima,30,14.5,4.97
5,intense_calima,13,16.08,2.63
5,no_calima,32,14.34,3.88
6,intense_calima,13,13.31,3.71
6,no_calima,29,14.97,4.83
7,intense_calima,13,15.54,4.03
7,no_calima,32,13.84,4.1
8,intense_calima,14,16.64,3.65
8,no_calima,30,14.6,4.72
9,intense_calima,13,15.54,2.93
9,no_calima,30,14.23,4.38
10,intense_calima,13,15.38,4.7
10,no_calima,32,14.44,4.73
11,intense_calima,13,16.31,4.66
11,no_calima,29,15.21,3.53
12,intense_calima,13,18.38,4.7
12,no_calima,31,17.77,4.8
